k.dt	k.feed_id	k.tag_id	k.wb_mid	k.c	k.cost_price	k.short_url	k.mid_url	rank2
20191202	4131873213384828	102	4445030389183061	733	10.879	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	1
20191202	4131873213384828	102	4445011724687786	603	8.953	http://weibo.com/7272076443/IiSXyjFvs	http://weibo.com/6016642208/Fdnapecy0	2
20191202	4131873213384828	102	4445114871014099	407	5.776	http://weibo.com/7272076443/IiVDV4fOr	http://weibo.com/6016642208/Fdnapecy0	3
20191202	4131873213384828	112	4444732585149300	386	5.6997	http://weibo.com/6511177474/IiLHklBze	http://weibo.com/6016642208/Fdnapecy0	4
20191202	4131873213384828	102	4444976333673843	334	4.7387	http://weibo.com/5019884474/IiS2tfpJx	http://weibo.com/6016642208/Fdnapecy0	5
20191202	4131873213384828	102	4445051113052974	330	4.9627	http://weibo.com/1642088277/IiTZ5cOdw	http://weibo.com/6016642208/Fdnapecy0	6
20191202	4131873213384828	108	4444811442366445	330	5.0599	http://weibo.com/7098589754/IiNKw9VCt	http://weibo.com/6016642208/Fdnapecy0	7
20191202	4131873213384828	102	4445030108639235	298	4.4366	http://weibo.com/7282830801/IiTrcAfsv	http://weibo.com/6016642208/Fdnapecy0	8
20191202	4131873213384828	102	4445016724610295	284	4.2333	http://weibo.com/5220925684/IiT5CjllB	http://weibo.com/6016642208/Fdnapecy0	9
20191202	4131873213384828	108	4444601391392074	264	3.9477	http://weibo.com/7316499569/IiIhJ5Q8O	http://weibo.com/6016642208/Fdnapecy0	10
20191202	4131873213384828	102	4444999296901909	252	3.7282	http://weibo.com/3164835813/IiSDvsXv7	http://weibo.com/6016642208/Fdnapecy0	11
20191202	4131873213384828	102	4444366821179167	248	3.7288	http://weibo.com/1283431191/IiCbo4WKP	http://weibo.com/6016642208/Fdnapecy0	12
20191202	4131873213384828	102	4445073401674765	232	3.2413	http://weibo.com/5601456932/IiUz271Gl	http://weibo.com/6016642208/Fdnapecy0	13
20191202	4131873213384828	102	4445013658561070	229	3.3285	http://weibo.com/5231132136/IiT0FzV7M	http://weibo.com/6016642208/Fdnapecy0	14
20191202	4131873213384828	102	4444717976444570	228	3.3247	http://weibo.com/5705019604/IiLjLr2wG	http://weibo.com/6016642208/Fdnapecy0	15
20191202	4131873213384828	107	4445030389183061	226	3.4951	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	16
20191202	4131873213384828	102	4445062467738668	216	3.2415	http://weibo.com/5649189631/IiUhowtbe	http://weibo.com/6016642208/Fdnapecy0	17
20191202	4131873213384828	102	4445091085132703	212	3.0135	http://weibo.com/5044281310/IiV1ylxfx	http://weibo.com/6016642208/Fdnapecy0	18
20191202	4131873213384828	102	4444782757188977	200	2.9485	http://weibo.com/6092428387/IiN0fuabf	http://weibo.com/6016642208/Fdnapecy0	19
20191202	4131873213384828	102	4444754122787541	178	2.6387	http://weibo.com/2891529877/IiMg4bHal	http://weibo.com/6016642208/Fdnapecy0	20
20191202	4131873213384828	102	4444830715212971	177	2.6669	http://weibo.com/1989660417/IiOfBlS8b	http://weibo.com/6016642208/Fdnapecy0	21
20191202	4131873213384828	107	4445011724687786	177	2.6244	http://weibo.com/7272076443/IiSXyjFvs	http://weibo.com/6016642208/Fdnapecy0	22
20191202	4131873213384828	102	4445061674285121	172	2.6288	http://weibo.com/3986147355/IiUg7hYKR	http://weibo.com/6016642208/Fdnapecy0	23
20191202	4131873213384828	112	4444743104328858	166	2.4166	http://weibo.com/5680841181/IiLYiia8i	http://weibo.com/6016642208/Fdnapecy0	24
20191202	4131873213384828	112	4444812897607180	163	2.4308	http://weibo.com/2337348632/IiNMRvUYs	http://weibo.com/6016642208/Fdnapecy0	25
20191202	4131873213384828	121	4444818228854790	154	2.3215	http://weibo.com/1972694705/IiNVsB9xc	http://weibo.com/6016642208/Fdnapecy0	26
20191202	4131873213384828	102	4445189756019313	154	2.532	http://weibo.com/2982152367/IiXAHpfTH	http://weibo.com/6016642208/Fdnapecy0	27
20191202	4131873213384828	110	4445030389183061	147	2.1625	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	28
20191202	4131873213384828	102	4445076643720400	137	1.9413	http://weibo.com/5255814135/IiUEgfBQs	http://weibo.com/6016642208/Fdnapecy0	29
20191202	4131873213384828	102	4445023330371187	131	1.9361	http://weibo.com/5641077125/IiTgh1yyT	http://weibo.com/6016642208/Fdnapecy0	30
20191202	4131873213384828	102	4445036110290085	128	1.9055	http://weibo.com/2027320563/IiTAT1dsN	http://weibo.com/6016642208/Fdnapecy0	31
20191202	4131873213384828	107	4445051113052974	126	1.9337	http://weibo.com/1642088277/IiTZ5cOdw	http://weibo.com/6016642208/Fdnapecy0	32
20191202	4131873213384828	102	4445064601898509	124	1.7961	http://weibo.com/5044281310/IiUkQ7XT7	http://weibo.com/6016642208/Fdnapecy0	33
20191202	4131873213384828	112	4445030389183061	124	1.8646	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	34
20191202	4131873213384828	101	4444774499457041	118	1.7319	http://weibo.com/2063525503/IiMMVDGcV	http://weibo.com/6016642208/Fdnapecy0	35
20191202	4131873213384828	102	4444793889302860	116	1.7226	http://weibo.com/2889942201/IiNicD268	http://weibo.com/6016642208/Fdnapecy0	36
20191202	4131873213384828	102	4444818438110324	115	1.6909	http://weibo.com/1767076672/IiNVNy1RG	http://weibo.com/6016642208/Fdnapecy0	37
20191202	4131873213384828	121	4444805779882274	114	1.7333	http://weibo.com/5089204622/IiNBnFsPw	http://weibo.com/6016642208/Fdnapecy0	38
20191202	4131873213384828	117	4445030389183061	113	1.6743	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	39
20191202	4131873213384828	107	4445030108639235	112	1.6606	http://weibo.com/7282830801/IiTrcAfsv	http://weibo.com/6016642208/Fdnapecy0	40
20191202	4131873213384828	102	4445063431920179	112	1.6697	http://weibo.com/3202111700/IiUiX83wD	http://weibo.com/6016642208/Fdnapecy0	41
20191202	4131873213384828	110	4445016724610295	110	1.6509	http://weibo.com/5220925684/IiT5CjllB	http://weibo.com/6016642208/Fdnapecy0	42
20191202	4131873213384828	108	4445030389183061	110	1.6527	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	43
20191202	4131873213384828	102	4445050891605476	109	1.6519	http://weibo.com/2982152367/IiTYJ6JEM	http://weibo.com/6016642208/Fdnapecy0	44
20191202	4131873213384828	102	4445076631445261	107	1.5158	http://weibo.com/1913094142/IiUEf63YF	http://weibo.com/6016642208/Fdnapecy0	45
20191202	4131873213384828	102	4444761744197380	106	1.5865	http://weibo.com/6157151766/IiMsmhBVG	http://weibo.com/6016642208/Fdnapecy0	46
20191202	4131873213384828	107	4444999296901909	103	1.5379	http://weibo.com/3164835813/IiSDvsXv7	http://weibo.com/6016642208/Fdnapecy0	47
20191202	4131873213384828	102	4445073288836147	101	1.5286	http://weibo.com/1885688010/IiUyQB4Gv	http://weibo.com/6016642208/Fdnapecy0	48
20191202	4131873213384828	102	4444962370583640	100	1.4461	http://weibo.com/1142648704/IiRFX2rPy	http://weibo.com/6016642208/Fdnapecy0	49
20191202	4131873213384828	102	4444968536315633	99	1.469	http://weibo.com/2609926622/IiRPTquZ3	http://weibo.com/6016642208/Fdnapecy0	50
20191202	4131873213384828	102	4445013704435482	98	1.471	http://weibo.com/2313582550/IiT0KiBS2	http://weibo.com/6016642208/Fdnapecy0	51
20191202	4131873213384828	107	4445016724610295	96	1.4601	http://weibo.com/5220925684/IiT5CjllB	http://weibo.com/6016642208/Fdnapecy0	52
20191202	4131873213384828	102	4444691979988237	96	1.4132	http://weibo.com/5587616726/IiKDPFUoB	http://weibo.com/6016642208/Fdnapecy0	53
20191202	4131873213384828	102	4445017000866881	96	1.4905	http://weibo.com/5597175755/IiT643DvX	http://weibo.com/6016642208/Fdnapecy0	54
20191202	4131873213384828	108	4444766181462908	95	1.3845	http://weibo.com/6593871464/IiMzw68zi	http://weibo.com/6016642208/Fdnapecy0	55
20191202	4131873213384828	102	4445123682881574	94	1.3572	http://weibo.com/1791183153/IiVS8c5D0	http://weibo.com/6016642208/Fdnapecy0	56
20191202	4131873213384828	112	4445114871014099	94	1.301	http://weibo.com/7272076443/IiVDV4fOr	http://weibo.com/6016642208/Fdnapecy0	57
20191202	4131873213384828	102	4445046952562056	93	1.3568	http://weibo.com/5097562275/IiTSnaKvu	http://weibo.com/6016642208/Fdnapecy0	58
20191202	4131873213384828	102	4439399624054450	92	1.3365	http://weibo.com/2331498495/IgwXMh0Km	http://weibo.com/6016642208/Fdnapecy0	59
20191202	4131873213384828	112	4444384278204840	91	1.3441	http://weibo.com/5626312354/IiCDxyqs8	http://weibo.com/6016642208/Fdnapecy0	60
20191202	4131873213384828	102	4443981292950149	91	1.3342	http://weibo.com/1288369910/Iis9zcnt3	http://weibo.com/6016642208/Fdnapecy0	61
20191202	4131873213384828	102	4444379651047321	90	1.3224	http://weibo.com/7009444275/IiCw54osh	http://weibo.com/6016642208/Fdnapecy0	62
20191202	4131873213384828	102	4445065822490761	88	1.3234	http://weibo.com/1644114654/IiUmOarXz	http://weibo.com/6016642208/Fdnapecy0	63
20191202	4131873213384828	119	4445030389183061	88	1.2839	http://weibo.com/7009444275/IiTrECwVT	http://weibo.com/6016642208/Fdnapecy0	64
20191202	4131873213384828	110	4445011724687786	88	1.2928	http://weibo.com/7272076443/IiSXyjFvs	http://weibo.com/6016642208/Fdnapecy0	65
20191202	4131873213384828	102	4445076773939873	87	1.2884	http://weibo.com/6470919752/IiUEtgwWl	http://weibo.com/6016642208/Fdnapecy0	66
